step,population,mean_energy,food
4050,25,13298.2,64
4060,25,13324.4,68
4070,25,13360.2,64
4080,25,13390.0,65
4090,25,13415.0,70
4100,25,13442.4,73
4110,25,13472.2,74
4120,25,13511.6,67
4130,25,13527.0,80
4140,25,13555.6,82
4150,25,13601.0,70
4160,25,13626.0,75
4170,25,13648.6,82
4180,25,13690.4,73
4190,25,13715.4,78
4200,25,13732.0,90
4210,25,13761.8,91
4220,25,13791.6,92
4230,25,13820.2,94
4240,25,13844.0,100
4250,25,13867.8,106
4260,25,13908.4,98
4270,25,13952.6,87
4280,25,14001.6,72
4290,25,14025.4,78
4300,25,14060.0,75
4310,25,14082.6,82
4320,25,14119.6,77
4330,25,14147.0,80
4340,25,14182.8,76
4350,25,14218.6,72
4360,25,14258.0,65
4370,25,14289.0,65
4380,25,14310.4,73
4390,25,14348.6,67
4400,25,14384.4,63
4410,25,14414.2,64
4420,25,14442.8,66
4430,25,14466.6,72
4440,25,14508.4,63
4450,25,14538.2,64
4460,25,14564.4,68
4470,25,14608.6,57
4480,25,14638.4,58
4490,25,14669.4,58
4500,25,14688.4,68
4510,25,14713.4,73
4520,25,14748.0,70
4530,25,14791.0,60
4540,25,14820.8,61
4550,25,14854.2,59
4560,25,14890.0,55
4570,25,14924.6,52
4580,25,14958.0,50
4590,25,14979.4,58
4600,25,15004.4,63
4610,25,15036.6,62
4620,25,15066.4,63
4630,25,15089.0,70
4640,25,15117.6,72
4650,25,15149.8,71
4660,25,15182.0,70
4670,25,15222.6,62
4680,25,15244.0,70
4690,25,15265.4,78
4700,25,15298.8,76
4710,25,15334.6,72
4720,25,15366.8,71
4730,25,15397.8,71
4740,25,15425.2,74
4750,25,15456.2,74
4760,25,15490.8,71
4770,25,15519.4,73
4780,25,15546.8,76
4790,25,15573.0,80
4800,25,15586.0,95
4810,25,15621.8,91
4820,25,15662.4,83
4830,25,15698.2,79
4840,25,15742.4,68
4850,25,15772.2,69
4860,25,15802.0,70
4870,25,15840.2,64
4880,25,15868.8,66
4890,25,15897.4,68
4900,25,15928.4,68
4910,25,15951.0,75
4920,25,15985.6,72
4930,25,16008.2,79
4940,25,16032.0,85
4950,25,16054.6,92
4960,25,16086.8,91
4970,25,16110.6,97
4980,25,16140.4,98
4990,25,16163.0,105
5000,25,16200.0,100
5010,25,16232.2,99
5020,25,16263.2,99
5030,25,16303.8,91
5040,25,16344.4,83
5050,25,16382.6,77
5060,25,16428.0,65
5070,25,16457.8,66
5080,25,16473.2,79
5090,25,16505.4,78
5100,25,16541.2,74
5110,25,16578.2,69
5120,25,16609.2,69
5130,25,16651.0,60
5140,25,16683.2,59
5150,25,16703.4,68
5160,25,16732.0,70
5170,25,16753.4,78
5180,25,16779.6,82
5190,25,16804.6,87
5200,25,16834.4,88
5210,25,16863.0,90
5220,25,16900.0,85
5230,25,16933.4,83
5240,25,16971.6,77
5250,25,17000.2,79
5260,25,17043.2,69
5270,25,17071.8,71
5280,25,17107.6,67
5290,25,17141.0,65
5300,25,17175.6,62
5310,25,17200.6,67
5320,25,17230.4,68
5330,25,17259.0,70
5340,25,17292.4,68
5350,25,17324.6,67
5360,25,17353.2,69
5370,25,17386.6,67
5380,25,17412.8,71
5390,25,17440.2,74
5400,25,17479.6,67
5410,25,17496.2,79
5420,25,17520.0,85
5430,25,17548.6,87
5440,25,17576.0,90
5450,25,17608.2,89
5460,25,17646.4,83
5470,25,17676.2,84
5480,25,17706.0,85
5490,25,17745.4,78
5500,25,17778.8,76
5510,25,17814.6,72
5520,25,17856.4,63
5530,25,17885.0,65
5540,25,17910.0,70
5550,25,17942.2,69
5560,25,17979.2,64
5570,25,18000.6,72
5580,25,18038.8,66
5590,25,18078.2,59
5600,25,18109.2,59
5610,25,18136.6,62
5620,25,18168.8,61
5630,25,18189.0,70
5640,25,18227.2,64
5650,25,18258.2,64
5660,25,18296.4,58
5670,25,18317.8,66
5680,25,18344.0,70
5690,25,18371.4,73
5700,25,18385.6,87
5710,25,18419.0,85
5720,25,18462.0,75
5730,25,18491.8,76
5740,25,18530.0,70
5750,25,18562.2,69
5760,25,18608.8,56
5770,25,18644.6,52
5780,25,18676.8,51
5790,25,18705.4,53
5800,25,18724.4,63
5810,25,18754.2,64
5820,25,18790.0,60
5830,25,18823.4,58
5840,25,18852.0,60
5850,25,18889.0,55
5860,25,18922.4,53
5870,25,18947.4,58
5880,25,18971.2,64
5890,25,18998.6,67
5900,25,19028.4,68
5910,25,19057.0,70
5920,25,19092.8,66
5930,25,19119.0,70
5940,25,19148.8,71
5950,25,19170.2,79
5960,25,19195.2,84
5970,25,19221.4,88
5980,25,19257.2,84
5990,25,19291.8,81
6000,25,19320.4,83
6010,25,19361.0,75
6020,25,19394.4,73
6030,25,19423.0,75
6040,25,19457.6,72
6050,25,19481.4,78
6060,25,19512.4,78
6070,25,19541.0,80
6080,25,19569.6,82
6090,25,19598.2,84
6100,25,19637.6,77
6110,25,19668.6,77
6120,25,19702.0,75
6130,25,19727.0,80
6140,25,19762.8,76
6150,25,19790.2,79
6160,25,19827.2,74
6170,25,19861.8,71
6180,25,19896.4,68
6190,25,19923.8,71
6200,25,19948.8,76
6210,25,19981.0,75
6220,25,20013.2,74
6230,25,20037.0,80
6240,25,20063.2,84
6250,25,20089.4,88
6260,25,20122.8,86
6270,25,20152.6,87
6280,25,20183.6,87
6290,25,20207.4,93
6300,25,20232.4,98
6310,25,20261.0,100
6320,25,20290.8,101
6330,25,20327.8,96
6340,25,20364.8,91
6350,25,20418.6,72
6360,25,20464.0,60
6370,25,20492.6,62
6380,25,20523.6,62
6390,25,20559.4,58
6400,25,20586.8,61
6410,25,20617.8,61
6420,25,20644.0,65
6430,25,20676.2,64
6440,25,20707.2,64
6450,25,20735.8,66
6460,25,20762.0,70
6470,25,20784.6,77
6480,25,20807.2,84
6490,25,20843.0,80
6500,25,20871.6,82
6510,25,20895.4,88
6520,25,20920.4,93
6530,25,20944.2,99
6540,25,20975.2,99
6550,25,21008.6,97
6560,25,21046.8,91
6570,25,21085.0,85
6580,25,21132.8,71
6590,25,21173.4,63
6600,25,21205.6,62
6610,25,21237.8,61
6620,25,21265.2,64
6630,25,21290.2,69
6640,25,21327.2,64
6650,25,21358.2,64
6660,25,21386.8,66
6670,25,21408.2,74
6680,25,21436.8,76
6690,25,21457.0,85
6700,25,21490.4,83
6710,25,21523.8,81
6720,25,21550.0,85
6730,25,21576.2,89
6740,25,21609.6,87
6750,25,21639.4,88
6760,25,21674.0,85
6770,25,21705.0,85
6780,25,21739.6,82
6790,25,21765.8,86
6800,25,21786.0,95
6810,25,21824.2,89
6820,25,21873.2,74
6830,25,21903.0,75
6840,25,21944.8,66
6850,25,21980.6,62
6860,25,22018.8,56
6870,25,22048.6,57
6880,25,22065.2,69
6890,25,22085.4,78
6900,25,22117.6,77
6910,25,22161.8,66
6920,25,22190.4,68
6930,25,22229.8,61
6940,25,22256.0,65
6950,25,22285.8,66
6960,25,22319.2,64
6970,25,22352.6,62
6980,25,22387.2,59
6990,25,22414.6,62
7000,25,22438.4,68
7010,25,22464.6,72
7020,25,22494.4,73
7030,25,22529.0,70
7040,25,22554.0,75
7050,25,22585.0,75
7060,25,22612.4,78
7070,25,22647.0,75
7080,25,22675.6,77
7090,25,22709.0,75
7100,25,22738.8,76
7110,25,22785.4,63
7120,25,22811.6,67
7130,25,22846.2,64
7140,25,22882.0,60
7150,25,22913.0,60
7160,25,22947.6,57
7170,25,22977.4,58
7180,25,23002.4,63
7190,25,23023.8,71
7200,25,23059.6,67
7210,25,23103.8,56
7220,25,23139.6,52
7230,25,23165.8,56
7240,25,23184.8,66
7250,25,23207.4,73
7260,25,23234.8,76
7270,25,23263.4,78
7280,25,23301.6,72
7290,25,23327.8,76
7300,25,23367.2,69
7310,25,23401.8,66
7320,25,23428.0,70
7330,25,23451.8,76
7340,25,23484.0,75
7350,25,23527.0,65
7360,25,23553.2,69
7370,25,23580.6,72
7380,25,23608.0,75
7390,25,23625.8,86
7400,25,23660.4,83
7410,25,23691.4,83
7420,25,23730.8,76
7430,25,23772.6,67
7440,25,23804.8,66
7450,25,23832.2,69
7460,25,23859.6,72
7470,25,23899.0,65
7480,25,23922.8,71
7490,25,23951.4,73
7500,25,23977.6,77
7510,25,24013.4,73
7520,25,24034.8,81
7530,25,24079.0,70
7540,25,24107.6,72
7550,25,24130.2,79
7560,25,24156.4,83
7570,25,24188.6,82
7580,25,24220.8,81
7590,25,24249.4,83
7600,25,24286.4,78
7610,25,24322.2,74
7620,25,24360.4,68
7630,25,24398.6,62
7640,25,24430.8,61
7650,25,24455.8,66
7660,25,24490.4,63
7670,25,24527.4,58
7680,25,24547.6,67
7690,25,24577.4,68
7700,25,24613.2,64
7710,25,24647.8,61
7720,25,24672.8,66
7730,25,24699.0,70
7740,25,24725.2,74
7750,25,24738.2,89
7760,25,24780.0,80
7770,25,24808.6,82
7780,25,24831.2,89
7790,25,24858.6,92
7800,25,24893.2,89
7810,25,24924.2,89
7820,25,24969.6,77
7830,25,24997.0,80
7840,25,25020.8,86
7850,25,25056.6,82
7860,25,25087.6,82
7870,25,25121.0,80
7880,25,25149.6,82
7890,25,25179.4,83
7900,25,25227.2,69
7910,25,25263.0,65
7920,25,25288.0,70
7930,25,25315.4,73
7940,25,25350.0,70
7950,25,25388.2,64
7960,25,25420.4,63
7970,25,25441.8,71
7980,25,25469.2,74
7990,25,25507.4,68
8000,25,25544.4,63
8010,25,25567.0,70
8020,25,25590.8,76
8030,25,25618.2,79
8040,25,25633.6,92
8050,25,25661.0,95
8060,25,25694.4,93
8070,25,25727.8,91
8080,25,25760.0,90
8090,25,25788.6,92
8100,25,25818.4,93
8110,25,25855.4,88
8120,25,25887.6,87
8130,25,25915.0,90
8140,25,25944.8,91
8150,25,25979.4,88
8160,25,26016.4,83
8170,25,26057.0,75
8180,25,26088.0,75
8190,25,26117.8,76
8200,25,26151.2,74
8210,25,26177.4,78
8220,25,26219.2,69
8230,25,26244.2,74
8240,25,26281.2,69
8250,25,26312.2,69
8260,25,26342.0,70
8270,25,26373.0,70
8280,25,26388.4,83
8290,25,26412.2,89
8300,25,26446.8,86
8310,25,26480.2,84
8320,25,26513.6,82
8330,25,26547.0,80
8340,25,26574.4,83
8350,25,26598.2,89
8360,25,26630.4,88
8370,25,26667.4,83
8380,25,26694.8,86
8390,25,26724.6,87
8400,25,26762.8,81
8410,25,26792.6,82
8420,25,26835.6,72
8430,25,26871.4,68
8440,25,26895.2,74
8450,25,26920.2,79
8460,25,26946.4,83
8470,25,26977.4,83
8480,25,27010.8,81
8490,25,27044.2,79
8500,25,27071.6,82
8510,25,27102.6,82
8520,25,27130.0,85
8530,25,27171.8,76
8540,25,27207.6,72
8550,25,27239.8,71
8560,25,27273.2,69
8570,25,27309.0,65
8580,25,27337.6,67
8590,25,27367.4,68
8600,25,27394.8,71
8610,25,27419.8,76
8620,25,27442.4,83
8630,25,27472.2,84
8640,25,27505.6,82
8650,25,27547.4,73
8660,25,27583.2,69
8670,25,27613.0,70
8680,25,27652.4,63
8690,25,27671.4,73
8700,25,27694.0,80
8710,25,27719.0,85
8720,25,27754.8,81
8730,25,27778.6,87
8740,25,27803.6,92
8750,25,27833.4,93
8760,25,27869.2,89
8770,25,27888.2,99
8780,25,27921.6,97
8790,25,27947.8,101
8800,25,27987.2,94
8810,25,28017.0,95
8820,25,28046.8,96
8830,25,28081.4,93
8840,25,28120.8,86
8850,25,28153.0,85
8860,25,28187.6,82
8870,25,28215.0,85
8880,25,28255.6,77
8890,25,28280.6,82
8900,25,28304.4,88
8910,25,28334.2,89
8920,25,28371.2,84
8930,25,28402.2,84
8940,25,28438.0,80
8950,25,28475.0,75
8960,25,28496.4,83
8970,25,28522.6,87
8980,25,28554.8,86
8990,25,28591.8,81
9000,25,28624.0,80
9010,25,28664.6,72
9020,25,28702.8,66
9030,25,28736.2,64
9040,25,28772.0,60
9050,25,28807.8,56
9060,25,28836.4,58
9070,25,28855.4,68
9080,25,28881.6,72
9090,25,28907.8,76
9100,25,28935.2,79
9110,25,28962.6,82
9120,25,28991.2,84
9130,25,29022.2,84
9140,25,29067.6,72
9150,25,29116.6,57
9160,25,29166.8,41
9170,25,29196.6,42
9180,25,29222.8,46
9190,25,29250.2,49
9200,25,29274.0,55
9210,25,29299.0,60
9220,25,29324.0,65
9230,25,29347.8,71
9240,25,29374.0,75
9250,25,29407.4,73
9260,25,29433.6,77
9270,25,29477.8,66
9280,25,29501.6,72
9290,25,29524.2,79
9300,25,29550.4,83
9310,25,29579.0,85
9320,25,29599.2,94
9330,25,29636.2,89
9340,25,29664.8,91
9350,25,29700.6,87
9360,25,29735.2,84
9370,25,29773.4,78
9380,25,29805.6,77
9390,25,29836.6,77
9400,25,29867.6,77
9410,25,29897.4,78
9420,25,29934.4,73
9430,25,29975.0,65
9440,25,30001.2,69
9450,25,30021.4,78
9460,25,30051.2,79
9470,25,30077.4,83
9480,25,30101.2,89
9490,25,30139.4,83
9500,25,30176.4,78
9510,25,30207.4,78
9520,25,30242.0,75
9530,25,30276.6,72
9540,25,30307.6,72
9550,25,30342.2,69
9560,25,30364.8,76
9570,25,30394.6,77
9580,25,30422.0,80
9590,25,30459.0,75
9600,25,30485.2,79
9610,25,30507.8,86
9620,25,30546.0,80
9630,25,30584.2,74
9640,25,30611.6,77
9650,25,30635.4,83
9660,25,30670.0,80
9670,25,30705.8,76
9680,25,30739.2,74
9690,25,30752.2,89
9700,25,30783.2,89
9710,25,30823.8,81
9720,25,30862.0,75
9730,25,30885.8,81
9740,25,30922.8,76
9750,25,30949.0,80
9760,25,30975.2,84
9770,25,31005.0,85
9780,25,31049.2,74
9790,25,31085.0,70
9800,25,31120.8,66
9810,25,31138.6,77
9820,25,31173.2,74
9830,25,31205.4,73
9840,25,31244.8,66
9850,25,31273.4,68
9860,25,31302.0,70
9870,25,31334.2,69
9880,25,31373.6,62
9890,25,31413.0,55
9900,25,31438.0,60
9910,25,31463.0,65
9920,25,31494.0,65
9930,25,31509.4,78
9940,25,31533.2,84
9950,25,31567.8,81
9960,25,31590.4,88
9970,25,31625.0,85
9980,25,31648.8,91
9990,25,31678.6,92
10000,25,31706.0,95
